[Corpus] 캐시 로드: c:\Users\SSAFY\Desktop\공정거래_데이터\rag_system\index\corpus.json
전체 청크: 31879개
체크포인트: 0개 완료, 0번부터 재시작
새 컬렉션 생성
남은 청크: 31879개
  [50/31879] 1s, ETA 866s
  [100/31879] 3s, ETA 820s
  [150/31879] 5s, ETA 1030s
  [200/31879] 6s, ETA 970s
  [250/31879] 9s, ETA 1099s
  [300/31879] 11s, ETA 1181s
  [350/31879] 12s, ETA 1115s
  [400/31879] 14s, ETA 1071s
  [450/31879] 17s, ETA 1166s
  [500/31879] 19s, ETA 1201s
  [550/31879] 22s, ETA 1232s
  [600/31879] 24s, ETA 1253s
  [650/31879] 27s, ETA 1287s
  [700/31879] 28s, ETA 1249s
  [750/31879] 30s, ETA 1266s
  [800/31879] 33s, ETA 1278s
  [850/31879] 35s, ETA 1282s
  [900/31879] 38s, ETA 1315s
  [950/31879] 42s, ETA 1362s
  [1000/31879] 45s, ETA 1377s
  [1050/31879] 46s, ETA 1341s
  [1100/31879] 48s, ETA 1342s
  [1150/31879] 49s, ETA 1316s
  [1200/31879] 50s, ETA 1285s
  [1250/31879] 51s, ETA 1259s
  [1300/31879] 52s, ETA 1234s
  [1350/31879] 55s, ETA 1250s
  [1400/31879] 58s, ETA 1272s
  [1450/31879] 60s, ETA 1254s
  [1500/31879] 61s, ETA 1237s
  [1550/31879] 63s, ETA 1238s
  [1600/31879] 65s, ETA 1226s
  [1650/31879] 66s, ETA 1207s
  [1700/31879] 68s, ETA 1203s
  [1750/31879] 72s, ETA 1232s
  [1800/31879] 74s, ETA 1234s
  [1850/31879] 76s, ETA 1237s
  [1900/31879] 78s, ETA 1224s
  [1950/31879] 81s, ETA 1238s
  [2000/31879] 83s, ETA 1243s
  [2050/31879] 86s, ETA 1257s
  [2100/31879] 88s, ETA 1243s
  [2150/31879] 89s, ETA 1227s
  [2200/31879] 90s, ETA 1212s
  [2250/31879] 92s, ETA 1213s
  [2300/31879] 94s, ETA 1209s
  [2350/31879] 96s, ETA 1211s
  [2400/31879] 99s, ETA 1220s
  [2450/31879] 102s, ETA 1224s
  [2500/31879] 105s, ETA 1231s
  [2550/31879] 106s, ETA 1219s
  [2600/31879] 107s, ETA 1207s
  [2650/31879] 109s, ETA 1197s
  [2700/31879] 112s, ETA 1208s
  [2750/31879] 115s, ETA 1215s
  [2800/31879] 117s, ETA 1220s
  [2850/31879] 119s, ETA 1210s
  [2900/31879] 120s, ETA 1199s
  [2950/31879] 123s, ETA 1202s
  [3000/31879] 124s, ETA 1193s
  [3050/31879] 126s, ETA 1194s
  [3100/31879] 128s, ETA 1193s
  [3150/31879] 131s, ETA 1191s
  [3200/31879] 133s, ETA 1191s
  [3250/31879] 134s, ETA 1181s
  [3300/31879] 136s, ETA 1180s
  [3350/31879] 139s, ETA 1182s
  [3400/31879] 141s, ETA 1182s
  [3450/31879] 144s, ETA 1189s
  [3500/31879] 145s, ETA 1178s
  [3550/31879] 147s, ETA 1169s
  [3600/31879] 149s, ETA 1169s
  [3650/31879] 150s, ETA 1161s
  [3700/31879] 153s, ETA 1161s
  [3750/31879] 154s, ETA 1155s
  [3800/31879] 155s, ETA 1146s
  [3850/31879] 156s, ETA 1138s
  [3900/31879] 158s, ETA 1131s
  [3950/31879] 159s, ETA 1124s
  [4000/31879] 161s, ETA 1125s
  [4050/31879] 162s, ETA 1116s
  [4100/31879] 163s, ETA 1108s
  [4150/31879] 167s, ETA 1113s
  [4200/31879] 168s, ETA 1105s
  [4250/31879] 170s, ETA 1104s
  [4300/31879] 171s, ETA 1098s
  [4350/31879] 172s, ETA 1091s
  [4400/31879] 174s, ETA 1085s
  [4450/31879] 175s, ETA 1080s
  [4500/31879] 178s, ETA 1082s
  [4550/31879] 181s, ETA 1087s
  [4600/31879] 182s, ETA 1082s
  [4650/31879] 184s, ETA 1076s
  [4700/31879] 185s, ETA 1069s
  [4750/31879] 188s, ETA 1072s
  [4800/31879] 189s, ETA 1066s
  [4850/31879] 190s, ETA 1060s
  [4900/31879] 193s, ETA 1060s
  [4950/31879] 195s, ETA 1060s
  [5000/31879] 197s, ETA 1057s
  [5050/31879] 198s, ETA 1051s
  [5100/31879] 200s, ETA 1052s
  [5150/31879] 203s, ETA 1054s
  [5200/31879] 204s, ETA 1047s
  [5250/31879] 206s, ETA 1047s
  [5300/31879] 207s, ETA 1040s
  [5350/31879] 209s, ETA 1034s
  [5400/31879] 211s, ETA 1034s
  [5450/31879] 213s, ETA 1033s
  [5500/31879] 214s, ETA 1027s
  [5550/31879] 217s, ETA 1030s
  [5600/31879] 218s, ETA 1024s
  [5650/31879] 221s, ETA 1024s
  [5700/31879] 223s, ETA 1025s
  [5750/31879] 226s, ETA 1026s
  [5800/31879] 227s, ETA 1022s
  [5850/31879] 229s, ETA 1018s
  [5900/31879] 230s, ETA 1011s
  [5950/31879] 232s, ETA 1011s
  [6000/31879] 233s, ETA 1007s
  [6050/31879] 235s, ETA 1005s
  [6100/31879] 238s, ETA 1007s
  [6150/31879] 241s, ETA 1006s
  [6200/31879] 243s, ETA 1006s
  [6250/31879] 245s, ETA 1005s
  [6300/31879] 248s, ETA 1005s
  [6350/31879] 249s, ETA 1000s
  [6400/31879] 250s, ETA 994s
  [6450/31879] 251s, ETA 989s
  [6500/31879] 253s, ETA 989s
  [6550/31879] 255s, ETA 985s
  [6600/31879] 257s, ETA 985s
  [6650/31879] 260s, ETA 988s
  [6700/31879] 263s, ETA 988s
  [6750/31879] 264s, ETA 983s
  [6800/31879] 265s, ETA 978s
  [6850/31879] 268s, ETA 978s
  [6900/31879] 271s, ETA 981s
  [6950/31879] 274s, ETA 984s
  [7000/31879] 276s, ETA 980s
  [7050/31879] 279s, ETA 984s
  [7100/31879] 282s, ETA 983s
  [7150/31879] 283s, ETA 978s
  [7200/31879] 287s, ETA 982s
  [7250/31879] 288s, ETA 978s
  [7300/31879] 291s, ETA 980s
  [7350/31879] 292s, ETA 976s
  [7400/31879] 295s, ETA 977s
  [7450/31879] 299s, ETA 980s
  [7500/31879] 302s, ETA 980s
  [7550/31879] 304s, ETA 979s
  [7600/31879] 305s, ETA 976s
  [7650/31879] 308s, ETA 975s
  [7700/31879] 309s, ETA 971s
  [7750/31879] 313s, ETA 974s
  [7800/31879] 314s, ETA 970s
  [7850/31879] 316s, ETA 969s
  [7900/31879] 318s, ETA 964s
  [7950/31879] 319s, ETA 960s
  [8000/31879] 322s, ETA 961s
  [8050/31879] 325s, ETA 962s
  [8100/31879] 328s, ETA 964s
  [8150/31879] 331s, ETA 963s
  [8200/31879] 332s, ETA 959s
  [8250/31879] 334s, ETA 956s
  [8300/31879] 337s, ETA 957s
  [8350/31879] 338s, ETA 953s
  [8400/31879] 340s, ETA 951s
  [8450/31879] 342s, ETA 947s
  [8500/31879] 343s, ETA 943s
  [8550/31879] 344s, ETA 938s
  [8600/31879] 346s, ETA 937s
  [8650/31879] 349s, ETA 938s
  [8700/31879] 351s, ETA 934s
  [8750/31879] 352s, ETA 930s
  [8800/31879] 354s, ETA 928s
  [8850/31879] 356s, ETA 927s
  [8900/31879] 360s, ETA 928s
  [8950/31879] 362s, ETA 928s
  [9000/31879] 365s, ETA 929s
  [9050/31879] 367s, ETA 926s
  [9100/31879] 370s, ETA 925s
  [9150/31879] 372s, ETA 924s
  [9200/31879] 373s, ETA 920s
  [9250/31879] 376s, ETA 920s
  [9300/31879] 379s, ETA 919s
  [9350/31879] 382s, ETA 921s
  [9400/31879] 385s, ETA 920s
  [9450/31879] 387s, ETA 918s
  [9500/31879] 388s, ETA 915s
  [9550/31879] 391s, ETA 913s
  [9600/31879] 392s, ETA 909s
  [9650/31879] 395s, ETA 910s
  [9700/31879] 398s, ETA 911s
  [9750/31879] 400s, ETA 907s
  [9800/31879] 403s, ETA 908s
  [9850/31879] 404s, ETA 903s
  [9900/31879] 406s, ETA 902s
  [9950/31879] 407s, ETA 898s
  [10000/31879] 409s, ETA 895s
  [10050/31879] 411s, ETA 893s
  [10100/31879] 415s, ETA 894s
  [10150/31879] 416s, ETA 891s
  [10200/31879] 418s, ETA 888s
  [10250/31879] 420s, ETA 887s
  [10300/31879] 421s, ETA 883s
  [10350/31879] 424s, ETA 881s
  [10400/31879] 424s, ETA 877s
  [10450/31879] 427s, ETA 875s
  [10500/31879] 429s, ETA 874s
  [10550/31879] 432s, ETA 874s
  [10600/31879] 435s, ETA 874s
  [10650/31879] 437s, ETA 870s
  [10700/31879] 439s, ETA 869s
  [10750/31879] 442s, ETA 869s
  [10800/31879] 444s, ETA 867s
  [10850/31879] 446s, ETA 865s
  [10900/31879] 450s, ETA 866s
  [10950/31879] 453s, ETA 865s
  [11000/31879] 454s, ETA 862s
  [11050/31879] 455s, ETA 858s
  [11100/31879] 456s, ETA 854s
  [11150/31879] 459s, ETA 854s
  [11200/31879] 462s, ETA 854s
  [11250/31879] 465s, ETA 853s
  [11300/31879] 468s, ETA 852s
  [11350/31879] 470s, ETA 850s
  [11400/31879] 471s, ETA 847s
  [11450/31879] 473s, ETA 843s
  [11500/31879] 476s, ETA 843s
  [11550/31879] 478s, ETA 841s
  [11600/31879] 482s, ETA 843s
  [11650/31879] 485s, ETA 843s
  [11700/31879] 488s, ETA 841s
  [11750/31879] 489s, ETA 837s
  [11800/31879] 491s, ETA 836s
  [11850/31879] 494s, ETA 835s
  [11900/31879] 495s, ETA 831s
  [11950/31879] 498s, ETA 830s
  [12000/31879] 499s, ETA 826s
  [12050/31879] 502s, ETA 825s
  [12100/31879] 503s, ETA 822s
  [12150/31879] 506s, ETA 822s
  [12200/31879] 509s, ETA 821s
  [12250/31879] 511s, ETA 819s
  [12300/31879] 513s, ETA 817s
  [12350/31879] 514s, ETA 813s
  [12400/31879] 522s, ETA 821s
  [12450/31879] 524s, ETA 818s
  [12500/31879] 527s, ETA 817s
  [12550/31879] 528s, ETA 813s
  [12600/31879] 531s, ETA 813s
  [12650/31879] 534s, ETA 812s
  [12700/31879] 536s, ETA 810s
  [12750/31879] 537s, ETA 806s
  [12800/31879] 540s, ETA 804s
  [12850/31879] 541s, ETA 802s
  [12900/31879] 546s, ETA 803s
  [12950/31879] 548s, ETA 801s
  [13000/31879] 550s, ETA 799s
  [13050/31879] 551s, ETA 796s
  [13100/31879] 553s, ETA 792s
  [13150/31879] 555s, ETA 791s
  [13200/31879] 556s, ETA 787s
  [13250/31879] 559s, ETA 786s
  [13300/31879] 563s, ETA 786s
  [13350/31879] 564s, ETA 783s
  [13400/31879] 567s, ETA 781s
  [13450/31879] 570s, ETA 781s
  [13500/31879] 572s, ETA 779s
  [13550/31879] 574s, ETA 776s
  [13600/31879] 577s, ETA 775s
  [13650/31879] 579s, ETA 773s
  [13700/31879] 581s, ETA 772s
  [13750/31879] 582s, ETA 768s
  [13800/31879] 584s, ETA 766s
  [13850/31879] 587s, ETA 764s
  [13900/31879] 589s, ETA 762s
  [13950/31879] 592s, ETA 761s
  [14000/31879] 595s, ETA 759s
  [14050/31879] 596s, ETA 756s
  [14100/31879] 597s, ETA 753s
  [14150/31879] 598s, ETA 750s
  [14200/31879] 600s, ETA 747s
  [14250/31879] 603s, ETA 746s
  [14300/31879] 604s, ETA 742s
  [14350/31879] 606s, ETA 741s
  [14400/31879] 607s, ETA 737s
  [14450/31879] 609s, ETA 735s
  [14500/31879] 612s, ETA 733s
  [14550/31879] 613s, ETA 730s
  [14600/31879] 615s, ETA 728s
  [14650/31879] 617s, ETA 726s
  [14700/31879] 620s, ETA 725s
  [14750/31879] 621s, ETA 721s
  [14800/31879] 622s, ETA 718s
  [14850/31879] 625s, ETA 716s
  [14900/31879] 626s, ETA 714s
  [14950/31879] 630s, ETA 713s
  [15000/31879] 633s, ETA 713s
  [15050/31879] 638s, ETA 713s
  [15100/31879] 642s, ETA 713s
  [15150/31879] 644s, ETA 711s
  [15200/31879] 647s, ETA 710s
  [15250/31879] 648s, ETA 707s
  [15300/31879] 651s, ETA 705s
