[Corpus] 캐시 로드: c:\Users\SSAFY\Desktop\공정거래_데이터\rag_system\index\corpus.json
전체 청크: 31879개
체크포인트: 0번부터 재시작
  [50/31879] 2s, ETA 1445s
  [100/31879] 3s, ETA 1034s
  [150/31879] 4s, ETA 917s
  [200/31879] 6s, ETA 986s
  [250/31879] 7s, ETA 936s
  [300/31879] 9s, ETA 940s
  [350/31879] 10s, ETA 891s
  [400/31879] 12s, ETA 957s
  [450/31879] 13s, ETA 934s
  [500/31879] 15s, ETA 959s
  → 저장 완료 (500개)
  [550/31879] 17s, ETA 982s
  [600/31879] 18s, ETA 952s
  [650/31879] 19s, ETA 928s
  [700/31879] 21s, ETA 941s
  [750/31879] 24s, ETA 995s
  [800/31879] 25s, ETA 976s
  [850/31879] 27s, ETA 998s
  [900/31879] 29s, ETA 1009s
  [950/31879] 31s, ETA 1023s
  [1000/31879] 33s, ETA 1030s
  → 저장 완료 (1000개)
  [1050/31879] 37s, ETA 1083s
  [1100/31879] 38s, ETA 1065s
  [1150/31879] 40s, ETA 1074s
  [1200/31879] 43s, ETA 1093s
  [1250/31879] 46s, ETA 1117s
  [1300/31879] 48s, ETA 1128s
  [1350/31879] 51s, ETA 1145s
  [1400/31879] 53s, ETA 1148s
  [1450/31879] 54s, ETA 1130s
  [1500/31879] 56s, ETA 1144s
  → 저장 완료 (1500개)
  [1550/31879] 59s, ETA 1162s
  [1600/31879] 63s, ETA 1184s
  [1650/31879] 63s, ETA 1163s
  [1700/31879] 67s, ETA 1181s
  [1750/31879] 69s, ETA 1189s
  [1800/31879] 71s, ETA 1190s
  [1850/31879] 74s, ETA 1197s
  [1900/31879] 77s, ETA 1213s
  [1950/31879] 78s, ETA 1196s
  [2000/31879] 80s, ETA 1201s
  → 저장 완료 (2000개)
  [2050/31879] 83s, ETA 1206s
  [2100/31879] 84s, ETA 1194s
  [2150/31879] 87s, ETA 1201s
  [2200/31879] 89s, ETA 1203s
  [2250/31879] 92s, ETA 1210s
  [2300/31879] 93s, ETA 1196s
  [2350/31879] 94s, ETA 1183s
  [2400/31879] 96s, ETA 1184s
  [2450/31879] 99s, ETA 1187s
  [2500/31879] 100s, ETA 1173s
  → 저장 완료 (2500개)
  [2550/31879] 103s, ETA 1181s
  [2600/31879] 105s, ETA 1179s
  [2650/31879] 107s, ETA 1179s
  [2700/31879] 109s, ETA 1177s
  [2750/31879] 110s, ETA 1165s
  [2800/31879] 113s, ETA 1168s
  [2850/31879] 114s, ETA 1157s
  [2900/31879] 115s, ETA 1144s
  [2950/31879] 116s, ETA 1134s
  [3000/31879] 118s, ETA 1136s
  → 저장 완료 (3000개)
  [3050/31879] 121s, ETA 1145s
  [3100/31879] 123s, ETA 1144s
  [3150/31879] 125s, ETA 1142s
  [3200/31879] 126s, ETA 1132s
  [3250/31879] 130s, ETA 1143s
  [3300/31879] 132s, ETA 1140s
  [3350/31879] 135s, ETA 1146s
  [3400/31879] 137s, ETA 1149s
  [3450/31879] 138s, ETA 1139s
  [3500/31879] 141s, ETA 1142s
  → 저장 완료 (3500개)
  [3550/31879] 143s, ETA 1143s
  [3600/31879] 146s, ETA 1147s
  [3650/31879] 149s, ETA 1152s
  [3700/31879] 151s, ETA 1152s
  [3750/31879] 154s, ETA 1157s
  [3800/31879] 157s, ETA 1161s
  [3850/31879] 160s, ETA 1165s
  [3900/31879] 162s, ETA 1164s
  [3950/31879] 164s, ETA 1162s
  [4000/31879] 167s, ETA 1166s
  → 저장 완료 (4000개)
  [4050/31879] 170s, ETA 1166s
  [4100/31879] 171s, ETA 1156s
  [4150/31879] 174s, ETA 1161s
  [4200/31879] 176s, ETA 1159s
  [4250/31879] 177s, ETA 1150s
  [4300/31879] 179s, ETA 1149s
  [4350/31879] 181s, ETA 1147s
  [4400/31879] 184s, ETA 1150s
  [4450/31879] 185s, ETA 1142s
  [4500/31879] 186s, ETA 1133s
  → 저장 완료 (4500개)
  [4550/31879] 188s, ETA 1126s
  [4600/31879] 190s, ETA 1129s
  [4650/31879] 193s, ETA 1128s
  [4700/31879] 194s, ETA 1120s
  [4750/31879] 195s, ETA 1112s
  [4800/31879] 198s, ETA 1115s
  [4850/31879] 200s, ETA 1113s
  [4900/31879] 204s, ETA 1123s
  [4950/31879] 206s, ETA 1122s
  [5000/31879] 207s, ETA 1115s
  → 저장 완료 (5000개)
  [5050/31879] 210s, ETA 1114s
  [5100/31879] 212s, ETA 1112s
  [5150/31879] 214s, ETA 1111s
  [5200/31879] 215s, ETA 1103s
  [5250/31879] 218s, ETA 1105s
  [5300/31879] 219s, ETA 1097s
  [5350/31879] 220s, ETA 1090s
  [5400/31879] 223s, ETA 1092s
  [5450/31879] 225s, ETA 1090s
  [5500/31879] 228s, ETA 1095s
  → 저장 완료 (5500개)
  [5550/31879] 230s, ETA 1091s
  [5600/31879] 231s, ETA 1084s
  [5650/31879] 234s, ETA 1088s
  [5700/31879] 237s, ETA 1086s
  [5750/31879] 239s, ETA 1086s
  [5800/31879] 240s, ETA 1081s
  [5850/31879] 243s, ETA 1080s
  [5900/31879] 243s, ETA 1072s
  [5950/31879] 246s, ETA 1072s
  [6000/31879] 249s, ETA 1076s
  → 저장 완료 (6000개)
  [6050/31879] 253s, ETA 1079s
  [6100/31879] 255s, ETA 1077s
  [6150/31879] 257s, ETA 1073s
  [6200/31879] 259s, ETA 1073s
  [6250/31879] 261s, ETA 1071s
  [6300/31879] 262s, ETA 1065s
  [6350/31879] 264s, ETA 1061s
  [6400/31879] 266s, ETA 1061s
  [6450/31879] 269s, ETA 1062s
  [6500/31879] 272s, ETA 1060s
  → 저장 완료 (6500개)
  [6550/31879] 275s, ETA 1063s
  [6600/31879] 277s, ETA 1061s
  [6650/31879] 278s, ETA 1057s
  [6700/31879] 281s, ETA 1056s
  [6750/31879] 282s, ETA 1050s
  [6800/31879] 285s, ETA 1050s
  [6850/31879] 287s, ETA 1048s
  [6900/31879] 288s, ETA 1044s
  [6950/31879] 290s, ETA 1039s
  [7000/31879] 291s, ETA 1036s
  → 저장 완료 (7000개)
  [7050/31879] 294s, ETA 1036s
  [7100/31879] 296s, ETA 1032s
  [7150/31879] 297s, ETA 1028s
  [7200/31879] 299s, ETA 1026s
  [7250/31879] 302s, ETA 1027s
  [7300/31879] 305s, ETA 1027s
  [7350/31879] 308s, ETA 1027s
  [7400/31879] 310s, ETA 1025s
  [7450/31879] 312s, ETA 1023s
  [7500/31879] 315s, ETA 1022s
  → 저장 완료 (7500개)
  [7550/31879] 317s, ETA 1022s
  [7600/31879] 319s, ETA 1021s
  [7650/31879] 321s, ETA 1017s
  [7700/31879] 323s, ETA 1016s
  [7750/31879] 326s, ETA 1015s
  [7800/31879] 327s, ETA 1010s
  [7850/31879] 330s, ETA 1010s
  [7900/31879] 333s, ETA 1010s
  [7950/31879] 336s, ETA 1013s
  [8000/31879] 339s, ETA 1013s
  → 저장 완료 (8000개)
  [8050/31879] 342s, ETA 1013s
  [8100/31879] 343s, ETA 1008s
  [8150/31879] 345s, ETA 1003s
  [8200/31879] 346s, ETA 999s
  [8250/31879] 349s, ETA 999s
  [8300/31879] 352s, ETA 1001s
  [8350/31879] 355s, ETA 999s
  [8400/31879] 357s, ETA 998s
  [8450/31879] 359s, ETA 997s
  [8500/31879] 363s, ETA 998s
  → 저장 완료 (8500개)
  [8550/31879] 366s, ETA 999s
  [8600/31879] 367s, ETA 995s
  [8650/31879] 369s, ETA 990s
  [8700/31879] 370s, ETA 985s
  [8750/31879] 372s, ETA 983s
  [8800/31879] 376s, ETA 985s
  [8850/31879] 378s, ETA 984s
  [8900/31879] 379s, ETA 979s
  [8950/31879] 381s, ETA 977s
  [9000/31879] 383s, ETA 974s
  → 저장 완료 (9000개)
  [9050/31879] 387s, ETA 976s
  [9100/31879] 389s, ETA 974s
  [9150/31879] 391s, ETA 971s
  [9200/31879] 394s, ETA 971s
  [9250/31879] 396s, ETA 969s
  [9300/31879] 398s, ETA 967s
  [9350/31879] 400s, ETA 963s
  [9400/31879] 403s, ETA 963s
  [9450/31879] 406s, ETA 963s
  [9500/31879] 408s, ETA 961s
  → 저장 완료 (9500개)
  [9550/31879] 412s, ETA 962s
  [9600/31879] 414s, ETA 960s
  [9650/31879] 416s, ETA 959s
  [9700/31879] 419s, ETA 957s
  [9750/31879] 421s, ETA 955s
  [9800/31879] 422s, ETA 951s
  [9850/31879] 424s, ETA 949s
  [9900/31879] 427s, ETA 948s
  [9950/31879] 428s, ETA 943s
  [10000/31879] 431s, ETA 943s
  → 저장 완료 (10000개)
  [10050/31879] 433s, ETA 940s
  [10100/31879] 434s, ETA 936s
  [10150/31879] 435s, ETA 932s
  [10200/31879] 439s, ETA 933s
  [10250/31879] 441s, ETA 931s
  [10300/31879] 443s, ETA 929s
  [10350/31879] 444s, ETA 924s
  [10400/31879] 447s, ETA 924s
  [10450/31879] 448s, ETA 919s
  [10500/31879] 449s, ETA 914s
  → 저장 완료 (10500개)
  [10550/31879] 453s, ETA 917s
  [10600/31879] 455s, ETA 913s
  [10650/31879] 461s, ETA 918s
  [10700/31879] 466s, ETA 923s
  [10750/31879] 473s, ETA 929s
  [10800/31879] 480s, ETA 936s
  [10850/31879] 485s, ETA 939s
  [10900/31879] 491s, ETA 946s
  [10950/31879] 508s, ETA 970s
  [11000/31879] 519s, ETA 986s
  → 저장 완료 (11000개)
  [11050/31879] 523s, ETA 985s
  [11100/31879] 528s, ETA 989s
  [11150/31879] 540s, ETA 1004s
  [11200/31879] 544s, ETA 1004s
  [11250/31879] 547s, ETA 1002s
  [11300/31879] 550s, ETA 1001s
  [11350/31879] 552s, ETA 999s
  [11400/31879] 555s, ETA 997s
  [11450/31879] 558s, ETA 996s
  [11500/31879] 560s, ETA 992s
  → 저장 완료 (11500개)
  [11550/31879] 564s, ETA 993s
  [11600/31879] 566s, ETA 990s
  [11650/31879] 568s, ETA 986s
  [11700/31879] 571s, ETA 984s
  [11750/31879] 573s, ETA 981s
  [11800/31879] 575s, ETA 979s
  [11850/31879] 576s, ETA 974s
  [11900/31879] 580s, ETA 973s
  [11950/31879] 582s, ETA 970s
  [12000/31879] 583s, ETA 966s
  → 저장 완료 (12000개)
  [12050/31879] 585s, ETA 963s
  [12100/31879] 587s, ETA 960s
  [12150/31879] 590s, ETA 958s
  [12200/31879] 592s, ETA 955s
  [12250/31879] 593s, ETA 951s
  [12300/31879] 594s, ETA 946s
  [12350/31879] 595s, ETA 941s
  [12400/31879] 596s, ETA 937s
  [12450/31879] 598s, ETA 934s
  [12500/31879] 600s, ETA 930s
  → 저장 완료 (12500개)
  [12550/31879] 602s, ETA 927s
  [12600/31879] 603s, ETA 923s
  [12650/31879] 604s, ETA 919s
  [12700/31879] 607s, ETA 917s
  [12750/31879] 608s, ETA 913s
  [12800/31879] 609s, ETA 908s
  [12850/31879] 610s, ETA 904s
  [12900/31879] 612s, ETA 901s
